,dag,mccabe,dag_nodes,dag_edges,p_conditional,p_edge,p_invert_edge,structural_hamming_distance,total_tests,n_tests,num_jobs,new_mccabe,mutation_score,true_positives,true_negatives,false_positives,false_negatives
4597,misspecified_dag_50,45,30,214,0.5,0.5,0.5,223,4350,10,518,16,0.28433268858800775,286.0,104665.0,119654.0,290.0
4598,misspecified_dag_25,45,30,230,0.5,0.5,0.25,105,4350,10,518,16,0.46034816247582205,548.0,141627.0,82345.0,375.0
4599,misspecified_dag_100,45,30,198,0.5,0.5,1.0,435,4350,10,518,16,0.1702127659574468,178.0,87195.0,137288.0,234.0
4600,original_dag,45,30,98,0.75,0.25,0.0,0,4200,10,554,21,0.9710669077757685,1949.0,228652.0,1657.0,2.0
4601,misspecified_dag_75,45,30,239,0.75,0.25,0.75,291,4200,10,554,21,0.30198915009041594,328.0,87046.0,144201.0,685.0
4602,misspecified_dag_50,45,30,186,0.75,0.25,0.5,174,4200,10,554,21,0.5244122965641953,637.0,128212.0,102758.0,653.0
4603,misspecified_dag_25,45,30,141,0.75,0.25,0.25,79,4200,10,554,21,0.7088607594936709,1168.0,172474.0,58208.0,410.0
4604,misspecified_dag_100,45,30,276,0.75,0.25,1.0,374,4200,10,554,21,0.1301989150090416,206.0,64495.0,166844.0,715.0
4605,original_dag,52,30,108,0.75,0.25,0.0,0,4320,10,568,25,0.9911816578483245,1967.0,238441.0,4517.0,19.0
4606,misspecified_dag_75,52,30,240,0.75,0.25,0.75,304,4320,10,568,25,0.4021164021164021,524.0,96433.0,147202.0,785.0
4607,misspecified_dag_50,52,30,191,0.75,0.25,0.5,193,4320,10,568,25,0.5661375661375662,778.0,122261.0,121166.0,739.0
4608,misspecified_dag_25,52,30,149,0.75,0.25,0.25,95,4320,10,568,25,0.7301587301587301,1220.0,169447.0,73793.0,484.0
4609,misspecified_dag_100,52,30,298,0.75,0.25,1.0,406,4320,10,568,25,0.25925925925925924,399.0,82950.0,160781.0,814.0
4610,original_dag,59,30,435,1.0,1.0,0.0,0,4350,10,436,30,0.9862068965517241,1605.0,181965.0,5637.0,18.0
4611,misspecified_dag_75,59,30,111,1.0,1.0,0.75,324,4350,10,436,30,0.135632183908046,99.0,51666.0,137301.0,159.0
4612,misspecified_dag_50,59,30,211,1.0,1.0,0.5,224,4350,10,436,30,0.17471264367816092,126.0,89484.0,99447.0,168.0
4613,misspecified_dag_25,59,30,329,1.0,1.0,0.25,106,4350,10,436,30,0.3954022988505747,468.0,140037.0,48605.0,115.0
4614,misspecified_dag_100,59,30,0,1.0,1.0,1.0,435,4350,10,436,30,0.10344827586206896,148.0,14207.0,174520.0,350.0
4615,original_dag,38,30,435,0.25,1.0,0.0,0,435,1,436,9,0.9310344827586207,509.0,173056.0,15570.0,90.0
4616,misspecified_dag_75,38,30,116,0.25,1.0,0.75,319,435,1,436,9,0.10574712643678161,73.0,50822.0,138243.0,87.0
4617,misspecified_dag_50,38,30,216,0.25,1.0,0.5,219,435,1,436,9,0.135632183908046,73.0,93017.0,96047.0,88.0
4618,misspecified_dag_25,38,30,325,0.25,1.0,0.25,110,435,1,436,9,0.2620689655172414,158.0,133822.0,55149.0,96.0
4619,misspecified_dag_100,38,30,0,0.25,1.0,1.0,435,435,1,436,9,0.04827586206896552,27.0,1278.0,187799.0,121.0
4620,original_dag,59,30,435,1.0,1.0,0.0,0,2175,5,436,30,0.9310344827586207,1667.0,161458.0,26001.0,99.0
4621,misspecified_dag_75,59,30,103,1.0,1.0,0.75,332,2175,5,436,30,0.3218390804597701,425.0,52210.0,136179.0,411.0
4622,misspecified_dag_50,59,30,198,1.0,1.0,0.5,237,2175,5,436,30,0.2,168.0,86397.0,102297.0,363.0
4623,misspecified_dag_25,59,30,326,1.0,1.0,0.25,109,2175,5,436,30,0.45977011494252873,500.0,135655.0,52832.0,238.0
4624,misspecified_dag_100,59,30,0,1.0,1.0,1.0,435,2175,5,436,30,0.11954022988505747,80.0,7315.0,181353.0,477.0
4625,original_dag,57,30,209,1.0,0.5,0.0,0,434,1,617,29,0.6818181818181818,1138.0,221854.0,44032.0,320.0
4626,misspecified_dag_75,57,30,220,1.0,0.5,0.75,327,434,1,617,29,0.336038961038961,473.0,115951.0,150406.0,514.0
4627,misspecified_dag_50,57,30,199,1.0,0.5,0.5,204,434,1,617,29,0.3555194805194805,594.0,136774.0,129616.0,360.0
4628,misspecified_dag_25,57,30,210,1.0,0.5,0.25,95,434,1,617,29,0.3912337662337662,531.0,158397.0,108002.0,414.0
4629,misspecified_dag_100,57,30,217,1.0,0.5,1.0,426,434,1,617,29,0.30844155844155846,508.0,101132.0,165176.0,528.0
4630,original_dag,51,30,93,1.0,0.25,0.0,0,425,1,556,26,0.6468468468468469,844.0,218381.0,16585.0,65.0
4631,misspecified_dag_75,51,30,227,1.0,0.25,0.75,268,425,1,556,26,0.3207207207207207,441.0,104454.0,130499.0,481.0
4632,misspecified_dag_50,51,30,182,1.0,0.25,0.5,185,425,1,556,26,0.4252252252252252,536.0,133774.0,101041.0,524.0
4633,misspecified_dag_25,51,30,127,1.0,0.25,0.25,84,425,1,556,26,0.5261261261261261,584.0,170911.0,64103.0,277.0
4634,misspecified_dag_100,51,30,268,1.0,0.25,1.0,361,425,1,556,26,0.15135135135135136,191.0,66409.0,168767.0,508.0
4635,original_dag,43,30,435,0.5,1.0,0.0,0,2175,5,436,14,0.9310344827586207,599.0,171226.0,17286.0,114.0
4636,misspecified_dag_75,43,30,109,0.5,1.0,0.75,326,2175,5,436,14,0.10114942528735632,68.0,48217.0,140836.0,104.0
4637,misspecified_dag_50,43,30,232,0.5,1.0,0.5,203,2175,5,436,14,0.19770114942528735,140.0,101215.0,87782.0,88.0
4638,misspecified_dag_25,43,30,329,0.5,1.0,0.25,106,2175,5,436,14,0.3264367816091954,262.0,142418.0,46470.0,75.0
4639,misspecified_dag_100,43,30,0,0.5,1.0,1.0,435,2175,5,436,14,0.05517241379310345,57.0,6468.0,182604.0,96.0
4640,original_dag,35,30,435,0.25,1.0,0.0,0,2175,5,436,6,0.9977011494252873,569.0,186046.0,2598.0,12.0
4641,misspecified_dag_75,35,30,98,0.25,1.0,0.75,337,2175,5,436,6,0.041379310344827586,27.0,42603.0,146530.0,65.0
4642,misspecified_dag_50,35,30,214,0.25,1.0,0.5,221,2175,5,436,6,0.12873563218390804,88.0,92567.0,96493.0,77.0
4643,misspecified_dag_25,35,30,334,0.25,1.0,0.25,101,2175,5,436,6,0.2896551724137931,191.0,145099.0,43883.0,52.0
4644,misspecified_dag_100,35,30,0,0.25,1.0,1.0,435,2175,5,436,6,0.016091954022988506,28.0,3887.0,185262.0,48.0
4645,original_dag,36,30,92,0.5,0.25,0.0,0,414,1,453,13,0.8185840707964602,1044.0,179756.0,6296.0,32.0
4646,misspecified_dag_75,36,30,221,0.5,0.25,0.75,259,414,1,453,13,0.4004424778761062,415.0,80493.0,105672.0,548.0
4647,misspecified_dag_50,36,30,179,0.5,0.25,0.5,179,414,1,453,13,0.5022123893805309,591.0,108341.0,77758.0,438.0
4648,misspecified_dag_25,36,30,134,0.5,0.25,0.25,76,414,1,453,13,0.5663716814159292,659.0,136297.0,49875.0,297.0
4649,misspecified_dag_100,36,30,249,0.5,0.25,1.0,341,414,1,453,13,0.23008849557522124,232.0,55816.0,130533.0,547.0
4650,original_dag,59,30,326,1.0,0.75,0.0,0,4350,10,535,30,0.9794007490636704,1448.0,221230.0,9542.0,70.0
4651,misspecified_dag_75,59,30,166,1.0,0.75,0.75,328,4350,10,535,30,0.16292134831460675,163.0,82607.0,149211.0,309.0
4652,misspecified_dag_50,59,30,211,1.0,0.75,0.5,209,4350,10,535,30,0.3202247191011236,335.0,115543.0,116183.0,229.0
4653,misspecified_dag_25,59,30,272,1.0,0.75,0.25,104,4350,10,535,30,0.44569288389513106,505.0,151151.0,80265.0,369.0
4654,misspecified_dag_100,59,30,109,1.0,0.75,1.0,435,4350,10,535,30,0.10861423220973783,110.0,51154.0,180744.0,282.0
4655,original_dag,59,30,435,1.0,1.0,0.0,0,435,1,436,30,0.7126436781609196,869.0,111796.0,75991.0,569.0
4656,misspecified_dag_75,59,30,93,1.0,1.0,0.75,342,435,1,436,30,0.3333333333333333,419.0,51346.0,137033.0,427.0
4657,misspecified_dag_50,59,30,207,1.0,1.0,0.5,228,435,1,436,30,0.5011494252873563,572.0,95563.0,92538.0,552.0
4658,misspecified_dag_25,59,30,333,1.0,1.0,0.25,102,435,1,436,30,0.6551724137931034,774.0,125811.0,62101.0,539.0
4659,misspecified_dag_100,59,30,0,1.0,1.0,1.0,435,435,1,436,30,0.0896551724137931,226.0,20219.0,168447.0,333.0
4660,original_dag,36,30,230,0.25,0.5,0.0,0,432,1,461,9,0.9065217391304348,1199.0,191541.0,5903.0,77.0
4661,misspecified_dag_75,36,30,194,0.25,0.5,0.75,310,432,1,461,9,0.2326086956521739,168.0,84472.0,113864.0,216.0
4662,misspecified_dag_50,36,30,192,0.25,0.5,0.5,208,432,1,461,9,0.25,200.0,89960.0,108293.0,267.0
4663,misspecified_dag_25,36,30,222,0.25,0.5,0.25,100,432,1,461,9,0.47391304347826085,498.0,126462.0,71406.0,354.0
4664,misspecified_dag_100,36,30,179,0.25,0.5,1.0,409,432,1,461,9,0.18478260869565216,162.0,71138.0,127263.0,157.0
4665,original_dag,38,30,115,0.5,0.25,0.0,0,4250,10,440,13,1.0,1555.0,185020.0,0.0,0.0
4666,misspecified_dag_75,38,30,258,0.5,0.25,0.75,313,4250,10,440,13,0.47380410022779046,476.0,68886.0,116519.0,694.0
4667,misspecified_dag_50,38,30,218,0.5,0.25,0.5,213,4250,10,440,13,0.5763097949886105,620.0,91570.0,93694.0,691.0
4668,misspecified_dag_25,38,30,176,0.5,0.25,0.25,109,4250,10,440,13,0.715261958997722,874.0,129070.0,56236.0,395.0
4669,misspecified_dag_100,38,30,281,0.5,0.25,1.0,396,4250,10,440,13,0.2437357630979499,376.0,56694.0,128802.0,703.0
4670,original_dag,57,30,328,1.0,0.75,0.0,0,434,1,519,29,0.7027027027027027,865.0,157125.0,66340.0,482.0
4671,misspecified_dag_75,57,30,152,1.0,0.75,0.75,322,434,1,519,29,0.3436293436293436,479.0,88099.0,135790.0,444.0
4672,misspecified_dag_50,57,30,212,1.0,0.75,0.5,216,434,1,519,29,0.32625482625482627,370.0,107892.0,116110.0,440.0
4673,misspecified_dag_25,57,30,270,1.0,0.75,0.25,112,434,1,519,29,0.5501930501930502,750.0,140146.0,83335.0,581.0
4674,misspecified_dag_100,57,30,99,1.0,0.75,1.0,427,434,1,519,29,0.2606177606177606,415.0,66925.0,156975.0,497.0
4675,original_dag,43,30,326,0.5,0.75,0.0,0,435,1,483,14,0.8423236514522822,756.0,180476.0,28123.0,315.0
4676,misspecified_dag_75,43,30,166,0.5,0.75,0.75,328,435,1,483,14,0.2095435684647303,184.0,78864.0,130305.0,317.0
4677,misspecified_dag_50,43,30,211,0.5,0.75,0.5,209,435,1,483,14,0.3360995850622407,306.0,100432.0,108599.0,333.0
4678,misspecified_dag_25,43,30,272,0.5,0.75,0.25,104,435,1,483,14,0.44813278008298757,446.0,130658.0,78149.0,417.0
4679,misspecified_dag_100,43,30,109,0.5,0.75,1.0,435,435,1,483,14,0.2074688796680498,306.0,57534.0,151530.0,300.0
4680,original_dag,35,30,228,0.25,0.5,0.0,0,4320,10,461,8,0.991304347826087,1436.0,196364.0,917.0,3.0
4681,misspecified_dag_75,35,30,189,0.25,0.5,0.75,321,4320,10,461,8,0.24130434782608695,249.0,79791.0,118434.0,246.0
4682,misspecified_dag_50,35,30,218,0.25,0.5,0.5,200,4320,10,461,8,0.3239130434782609,306.0,101814.0,96251.0,349.0
4683,misspecified_dag_25,35,30,223,0.25,0.5,0.25,95,4320,10,461,8,0.5521739130434783,564.0,130996.0,66885.0,275.0
4684,misspecified_dag_100,35,30,181,0.25,0.5,1.0,409,4320,10,461,8,0.12608695652173912,130.0,67030.0,131315.0,245.0
4685,original_dag,46,30,328,0.5,0.75,0.0,0,4340,10,481,18,0.9791666666666666,1210.0,200390.0,6642.0,78.0
4686,misspecified_dag_75,46,30,152,0.5,0.75,0.75,322,4340,10,481,18,0.15416666666666667,121.0,69959.0,137929.0,311.0
4687,misspecified_dag_50,46,30,212,0.5,0.75,0.5,216,4340,10,481,18,0.23125,220.0,101540.0,106335.0,225.0
4688,misspecified_dag_25,46,30,270,0.5,0.75,0.25,112,4340,10,481,18,0.3770833333333333,412.0,135908.0,71768.0,232.0
4689,misspecified_dag_100,46,30,99,0.5,0.75,1.0,427,4340,10,481,18,0.225,176.0,48304.0,159585.0,255.0
4690,original_dag,56,30,435,0.75,1.0,0.0,0,435,1,436,27,0.6919540229885057,698.0,118492.0,69552.0,483.0
4691,misspecified_dag_75,56,30,114,0.75,1.0,0.75,321,435,1,436,27,0.19080459770114944,178.0,54632.0,134108.0,307.0
4692,misspecified_dag_50,56,30,236,0.75,1.0,0.5,199,435,1,436,27,0.4459770114942529,402.0,100953.0,87623.0,247.0
4693,misspecified_dag_25,56,30,347,0.75,1.0,0.25,88,435,1,436,27,0.4689655172413793,536.0,125179.0,63122.0,388.0
4694,misspecified_dag_100,56,30,0,0.75,1.0,1.0,435,435,1,436,27,0.07586206896551724,88.0,11222.0,177626.0,289.0
4695,original_dag,29,30,115,0.25,0.25,0.0,0,2125,5,401,4,1.0,1424.0,168576.0,0.0,0.0
4696,misspecified_dag_75,29,30,258,0.25,0.25,0.75,313,2125,5,401,4,0.36,292.0,61308.0,107880.0,520.0
4697,misspecified_dag_50,29,30,218,0.25,0.25,0.5,213,2125,5,401,4,0.4825,389.0,81211.0,87912.0,488.0
4698,misspecified_dag_25,29,30,176,0.25,0.25,0.25,109,2125,5,401,4,0.69,744.0,116056.0,52845.0,355.0
4699,misspecified_dag_100,29,30,281,0.25,0.25,1.0,396,2125,5,401,4,0.2125,199.0,50601.0,118666.0,534.0
4700,original_dag,53,30,326,0.75,0.75,0.0,0,4350,10,518,24,0.9941972920696325,1387.0,218855.0,4560.0,93.0
4701,misspecified_dag_75,53,30,166,0.75,0.75,0.75,328,4350,10,518,24,0.24758220502901354,196.0,83558.0,140884.0,257.0
4702,misspecified_dag_50,53,30,211,0.75,0.75,0.5,209,4350,10,518,24,0.23210831721470018,206.0,106813.0,117596.0,280.0
4703,misspecified_dag_25,53,30,272,0.75,0.75,0.25,104,4350,10,518,24,0.4410058027079304,451.0,149996.0,74171.0,277.0
4704,misspecified_dag_100,53,30,109,0.75,0.75,1.0,435,4350,10,518,24,0.18568665377176016,191.0,55645.0,168763.0,296.0
4705,original_dag,46,30,435,0.5,1.0,0.0,0,2175,5,436,17,0.9540229885057471,1170.0,175440.0,12579.0,36.0
4706,misspecified_dag_75,46,30,101,0.5,1.0,0.75,334,2175,5,436,17,0.1632183908045977,232.0,52403.0,136361.0,229.0
4707,misspecified_dag_50,46,30,196,0.5,1.0,0.5,239,2175,5,436,17,0.11724137931034483,103.0,85157.0,103794.0,171.0
4708,misspecified_dag_25,46,30,332,0.5,1.0,0.25,103,2175,5,436,17,0.4114942528735632,463.0,139607.0,48965.0,190.0
4709,misspecified_dag_100,46,30,0,0.5,1.0,1.0,435,2175,5,436,17,0.08505747126436781,197.0,8068.0,180780.0,180.0
4710,original_dag,46,30,328,0.5,0.75,0.0,0,2170,5,481,18,0.9708333333333333,1093.0,195227.0,11852.0,148.0
4711,misspecified_dag_75,46,30,152,0.5,0.75,0.75,322,2170,5,481,18,0.21875,186.0,69414.0,138292.0,428.0
4712,misspecified_dag_50,46,30,212,0.5,0.75,0.5,216,2170,5,481,18,0.22708333333333333,246.0,101034.0,106781.0,259.0
4713,misspecified_dag_25,46,30,270,0.5,0.75,0.25,112,2170,5,481,18,0.4479166666666667,446.0,135394.0,72204.0,276.0
4714,misspecified_dag_100,46,30,99,0.5,0.75,1.0,427,2170,5,481,18,0.31875,333.0,51507.0,156243.0,237.0
4715,original_dag,59,30,326,1.0,0.75,0.0,0,2175,5,535,30,0.9662921348314607,1428.0,213240.0,17522.0,100.0
4716,misspecified_dag_75,59,30,166,1.0,0.75,0.75,328,2175,5,535,30,0.22284644194756553,213.0,86829.0,144970.0,278.0
4717,misspecified_dag_50,59,30,211,1.0,0.75,0.5,209,2175,5,535,30,0.3389513108614232,400.0,116012.0,115653.0,225.0
4718,misspecified_dag_25,59,30,272,1.0,0.75,0.25,104,2175,5,535,30,0.5131086142322098,601.0,147851.0,83395.0,443.0
4719,misspecified_dag_100,59,30,109,1.0,0.75,1.0,435,2175,5,535,30,0.2153558052434457,255.0,56349.0,175408.0,278.0
4720,original_dag,48,30,234,0.75,0.5,0.0,0,434,1,549,20,0.7007299270072993,893.0,199127.0,37576.0,236.0
4721,misspecified_dag_75,48,30,205,0.75,0.5,0.75,331,434,1,549,20,0.2664233576642336,383.0,96613.0,140370.0,466.0
4722,misspecified_dag_50,48,30,228,0.75,0.5,0.5,220,434,1,549,20,0.3467153284671533,383.0,113601.0,123367.0,481.0
4723,misspecified_dag_25,48,30,228,0.75,0.5,0.25,104,434,1,549,20,0.4835766423357664,583.0,149021.0,87787.0,441.0
4724,misspecified_dag_100,48,30,196,0.75,0.5,1.0,430,434,1,549,20,0.2645985401459854,361.0,84579.0,152387.0,505.0
4725,original_dag,52,30,318,0.75,0.75,0.0,0,435,1,503,23,0.7270916334661355,772.0,162880.0,54322.0,396.0
4726,misspecified_dag_75,52,30,161,0.75,0.75,0.75,325,435,1,503,23,0.29880478087649404,387.0,84953.0,132583.0,447.0
4727,misspecified_dag_50,52,30,225,0.75,0.75,0.5,209,435,1,503,23,0.32270916334661354,396.0,112052.0,105483.0,439.0
4728,misspecified_dag_25,52,30,275,0.75,0.75,0.25,89,435,1,503,23,0.547808764940239,743.0,138311.0,78815.0,501.0
4729,misspecified_dag_100,52,30,117,0.75,0.75,1.0,435,435,1,503,23,0.23107569721115537,337.0,73959.0,143693.0,381.0
4730,original_dag,46,30,435,0.5,1.0,0.0,0,435,1,436,17,0.8091954022988506,601.0,142514.0,45832.0,278.0
4731,misspecified_dag_75,46,30,116,0.5,1.0,0.75,319,435,1,436,17,0.2045977011494253,152.0,56833.0,132054.0,186.0
4732,misspecified_dag_50,46,30,237,0.5,1.0,0.5,198,435,1,436,17,0.27816091954022987,208.0,100277.0,88566.0,174.0
4733,misspecified_dag_25,46,30,328,0.5,1.0,0.25,107,435,1,436,17,0.34942528735632183,333.0,127992.0,60601.0,299.0
4734,misspecified_dag_100,46,30,0,0.5,1.0,1.0,435,435,1,436,17,0.06896551724137931,79.0,7751.0,181197.0,198.0
4735,original_dag,47,30,224,0.5,0.5,0.0,0,2170,5,547,19,0.9816849816849816,1802.0,226426.0,8652.0,84.0
4736,misspecified_dag_75,47,30,190,0.5,0.5,0.75,322,2170,5,547,19,0.17399267399267399,169.0,88829.0,147687.0,279.0
